Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,AVG
CJ Abrams,22,970,Maj-NL,Washington,151,614,563,83,138,28,6,18,64,32,2,118,13,3,3,7,47,4,0.245,0.3,0.412,0.712,682928,0.245
Jos\xc3\xa9 Abreu,36,948,Maj-AL,Houston,152,642,584,68,141,24,1,22,103,46,1,138,6,0,6,16,1,1,0.241,0.301,0.399,0.7,547989,0.241
Wilyer Abreu,24,970,Maj-AL,Boston,28,85,76,10,24,6,0,2,14,9,0,23,0,0,0,0,3,1,0.316,0.388,0.474,0.862,677800,0.316
Ronald Acu\xc3\xb1a Jr.,25,959,Maj-NL,Atlanta,163,752,657,152,219,36,4,41,106,82,3,86,10,0,3,15,74,14,0.333,0.414,0.588,1.001,660670,0.333
Willy Adames,27,967,Maj-NL,Milwaukee,151,646,560,73,124,30,2,24,81,72,1,167,6,0,6,12,5,3,0.221,0.314,0.411,0.724,642715,0.221
Jordyn Adams,23,985,Maj-AL,Los Angeles,17,40,39,1,5,0,0,0,1,0,0,16,0,0,1,0,1,2,0.128,0.125,0.128,0.253,677941,0.128
Riley Adams,27,995,Maj-NL,Washington,44,158,143,8,39,13,2,4,21,11,0,45,2,1,1,5,0,0,0.273,0.331,0.476,0.807,656180,0.273
Jo Adell,24,970,Maj-AL,Los Angeles,17,62,58,7,12,3,1,3,6,4,0,25,0,0,0,1,1,0,0.207,0.258,0.448,0.706,666176,0.207
Ehire Adrianza,33,1123,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303,0.0
Jes\xc3\xbas Aguilar,33,1097,Maj-AL,Oakland,36,115,104,8,23,2,0,5,9,8,2,31,1,0,1,3,0,0,0.221,0.281,0.385,0.665,542583,0.221
Nick Ahmed,33,996,Maj-NL,Arizona,72,210,198,14,42,10,1,2,17,12,0,52,0,0,0,0,5,1,0.212,0.257,0.303,0.56,605113,0.212
Hanser Alberto,30,1093,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643,0.22
Ozzie Albies,26,959,Maj-NL,Atlanta,152,677,611,96,171,30,5,33,110,48,2,110,8,0,8,10,13,2,0.28,0.336,0.507,0.844,645277,0.28
Jorge Alfaro,30,1032,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751,0.146
Greg Allen,30,1012,Maj-AL,New York,22,28,23,6,5,1,1,1,1,2,0,10,2,1,0,0,3,1,0.217,0.333,0.478,0.812,656185,0.217
Nick Allen,24,970,Maj-AL,Oakland,106,329,303,29,67,4,2,4,20,17,0,52,1,6,2,8,5,1,0.221,0.263,0.287,0.55,669397,0.221
Abraham Almonte,34,1006,Maj-NL,New York,8,16,15,1,1,1,0,0,0,1,0,8,0,0,0,0,0,0,0.067,0.125,0.133,0.258,501659,0.067
Pete Alonso,28,970,Maj-NL,New York,154,658,568,92,123,21,2,46,118,65,6,151,21,0,4,17,4,1,0.217,0.318,0.504,0.821,624413,0.217
Jose Altuve,33,948,Maj-AL,Houston,101,461,409,87,126,24,2,21,57,46,0,75,5,0,1,9,15,2,0.308,0.384,0.531,0.915,514888,0.308
Jake Alu,26,970,Maj-NL,Washington,51,175,159,14,36,2,1,2,16,10,0,42,3,1,2,2,5,1,0.226,0.282,0.289,0.571,666906,0.226
Francisco Alvarez,21,970,Maj-NL,New York,123,423,382,51,80,12,0,25,63,34,0,110,6,0,1,14,2,0,0.209,0.284,0.437,0.721,682626,0.209
Yordan Alvarez,26,948,Maj-AL,Houston,125,545,453,89,140,26,2,37,112,73,7,106,14,0,5,7,0,0,0.309,0.417,0.62,1.037,670541,0.309
Jacob Amaya,24,1068,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070,0.222
Miguel Amaya,24,970,Maj-NL,Chicago,53,156,131,17,28,4,0,5,18,12,0,40,11,1,1,2,0,0,0.214,0.329,0.359,0.688,665804,0.214
Brian Anderson,30,974,Maj-NL,Milwaukee,96,361,318,38,72,12,3,9,40,36,0,108,4,0,3,10,1,3,0.226,0.31,0.368,0.678,605119,0.226
Tim Anderson,30,971,Maj-AL,Chicago,123,524,493,52,121,18,2,1,25,26,0,122,3,0,2,15,13,2,0.245,0.286,0.296,0.582,641313,0.245
Elvis Andrus,34,970,Maj-AL,Chicago,112,406,374,39,94,20,1,6,44,25,1,71,4,1,2,11,12,4,0.251,0.304,0.358,0.662,462101,0.251
Miguel Andujar,28,970,Maj-NL,Pittsburgh,30,90,84,9,21,7,0,4,18,6,0,13,0,0,0,1,2,0,0.25,0.3,0.476,0.776,609280,0.25
Jonathan Aranda,25,968,Maj-AL,Tampa Bay,35,104,88,13,20,4,1,2,13,13,1,32,2,0,1,1,0,0,0.227,0.337,0.364,0.7,666018,0.227
Jonathan Ara\xc3\xbaz,24,984,Maj-NL,New York,27,66,59,3,8,0,0,3,9,5,0,18,0,2,0,1,0,0,0.136,0.203,0.288,0.491,660620,0.136
Orlando Arcia,28,959,Maj-NL,Atlanta,143,547,501,66,131,25,0,17,66,40,0,106,3,0,3,14,1,0,0.261,0.318,0.413,0.731,606115,0.261
Nolan Arenado,32,980,Maj-NL,St. Louis,144,612,560,71,149,26,2,26,93,41,5,101,3,0,8,21,3,3,0.266,0.315,0.459,0.774,571448,0.266
Gabriel Arias,23,975,Maj-AL,Cleveland,122,345,315,36,66,15,0,10,26,28,0,113,1,0,1,9,3,4,0.21,0.275,0.352,0.628,672356,0.21
Randy Arozarena,28,967,Maj-AL,Tampa Bay,153,662,559,95,143,20,3,23,83,80,1,158,18,0,5,10,22,10,0.256,0.364,0.426,0.79,668227,0.256
Luis Arraez,26,967,Maj-NL,Miami,149,625,582,71,204,30,3,10,69,35,10,34,4,1,3,18,3,2,0.351,0.389,0.464,0.853,650333,0.351
Christian Arroyo,28,1030,Maj-AL,Boston,66,206,195,23,47,16,0,3,24,7,0,45,1,1,2,8,1,3,0.241,0.268,0.369,0.638,624414,0.241
Jos\xc3\xa9 Az\xc3\xb3car,27,970,Maj-NL,San Diego,55,102,91,16,21,6,0,2,9,4,0,24,2,5,0,2,8,2,0.231,0.278,0.363,0.641,640492,0.231
Akil Baddoo,24,970,Maj-AL,Detroit,112,357,312,40,68,13,1,11,34,42,2,89,0,2,1,4,14,3,0.218,0.31,0.372,0.682,668731,0.218
