name_common,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,pitcher,G,PA,salary,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAR_rep,WAA,WAR
Fernando Abad,472551.0,abadfe01,2019,SFG,1,NL,Y,18,0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Abad,472551.0,abadfe01,2021,BAL,1,AL,Y,2,0,,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Abad,472551.0,abadfe01,2023,COL,1,NL,Y,0,0,100000.0,0.0,0.0,0.0,,,
Andrew Abbott,671096.0,abbotan01,2023,CIN,1,NL,Y,0,0,,0.0,0.0,0.0,,,
Andrew Abbott,671096.0,abbotan01,2024,CIN,1,NL,Y,0,0,742500.0,0.0,0.0,0.0,,,
Andrew Abbott,671096.0,abbotan01,2025,CIN,1,NL,Y,0,0,,0.0,0.0,0.0,,,
Cory Abbott,676265.0,abbotco01,2021,CHC,1,NL,Y,8,3,,0.3,0.3,0.0,0.0,0.03,0.03
Cory Abbott,676265.0,abbotco01,2022,WSN,1,NL,Y,0,0,,0.0,0.0,0.0,,,
Cory Abbott,676265.0,abbotco01,2023,WSN,1,NL,Y,0,0,,0.0,0.0,0.0,,,
Mick Abel,690953.0,abelmi01,2025,MIN,2,AL,Y,0,0,,0.0,0.0,0.0,,,
Mick Abel,690953.0,abelmi01,2025,PHI,1,NL,Y,0,0,,0.0,0.0,0.0,,,
Philip Abner,691769.0,abnerph01,2025,ARI,1,NL,Y,0,0,,0.0,0.0,0.0,,,
CJ Abrams,682928.0,abramcj01,2022,SDP,1,NL,N,46,139,,-3.9,-2.9,0.9,0.45,-0.39,0.06
CJ Abrams,682928.0,abramcj01,2022,WSN,2,NL,N,44,163,,-5.1,-1.1,-1.5,0.52,-0.52,0.0
CJ Abrams,682928.0,abramcj01,2023,WSN,1,NL,N,151,614,724200.0,14.8,10.8,12.8,1.98,1.47,3.45
CJ Abrams,682928.0,abramcj01,2024,WSN,1,NL,N,138,602,752400.0,13.8,12.8,9.2,1.88,1.45,3.33
CJ Abrams,682928.0,abramcj01,2025,WSN,1,NL,N,144,635,,13.9,19.9,2.5,1.95,1.37,3.32
CJ Abrams,682928.0,abramcj01,2026,WSN,1,NL,N,59,253,4200000.0,17.6,21.6,-0.5,0.82,1.74,2.56
