player_name,team,position,age,contract_value,aav,years,signed_year
Juan Soto,NYM,RF,26,765000000.0,51000000.0,15,2025
Shohei Ohtani,LAD,DH,29,700000000.0,70000000.0,10,2024
Vladimir Guerrero Jr.,TOR,1B,26,500000000.0,35714285.71428572,14,2026
Mike Trout,LAA,RF,27,426500000.0,35541666.666666664,12,2019
Mookie Betts,LAD,RF,28,365000000.0,30416666.666666668,12,2021
Aaron Judge,NYY,CF,30,360000000.0,40000000.0,9,2023
Manny Machado,SD,3B,30,350000000.0,31818181.818181816,11,2023
Francisco Lindor,NYM,SS,28,341000000.0,34100000.0,10,2022
Fernando Tatis Jr.,SD,SS,22,340000000.0,24285714.285714287,14,2021
Bryce Harper,PHI,1B,26,330000000.0,25384615.384615384,13,2019
Corey Seager,TEX,SS,27,325000000.0,32500000.0,10,2022
Giancarlo Stanton,NYY,RF,25,325000000.0,25000000.0,13,2015
Yoshinobu Yamamoto,LAD,SP,25,325000000.0,27083333.33333333,12,2024
Gerrit Cole,NYY,SP,29,324000000.0,36000000.0,9,2020
Rafael Devers,SF,3B,26,313500000.0,31350000.0,10,2023
Trea Turner,PHI,SS,29,300000000.0,27272727.272727277,11,2023
Bobby Witt Jr.,KC,SS,23,288777777.0,26252525.181818184,11,2024
Xander Bogaerts,SD,2B,30,280000000.0,25454545.454545453,11,2023
Nolan Arenado,ARI,3B,27,260000000.0,32500000.0,8,2019
Anthony Rendon,LAA,3B,29,245000000.0,35000000.0,7,2020
Kyle Tucker,LAD,RF,28,240000000.0,60000000.0,4,2026
Max Fried,NYY,SP,30,218000000.0,27250000.0,8,2025
Austin Riley,ATL,3B,25,212000000.0,21200000.0,10,2023
Dylan Cease,TOR,SP,29,210000000.0,30000000.0,7,2026
Corbin Burnes,ARI,SP,30,210000000.0,35000000.0,6,2025
Julio Rodriguez,SEA,CF,21,209300000.0,17441666.666666668,12,2023
Carlos Correa,HOU,SS,28,200000000.0,33333333.33333333,6,2023
Christian Yelich,MIL,LF,28,188500000.0,26928571.42857143,7,2020
Jacob deGrom,TEX,SP,34,185000000.0,37000000.0,5,2023
Wander Franco,TB,SS,20,182000000.0,16545454.545454543,11,2022
Kris Bryant,COL,1B,30,182000000.0,26000000.0,7,2022
Blake Snell,LAD,SP,31,182000000.0,36400000.0,5,2025
Willy Adames,SF,SS,29,182000000.0,26000000.0,7,2025
Dansby Swanson,CHC,SS,28,177000000.0,25285714.285714287,7,2023
Marcus Semien,NYM,2B,31,175000000.0,25000000.0,7,2022
Alex Bregman,CHC,3B,31,175000000.0,35000000.0,5,2026
José Ramírez,CLE,3B,33,175000000.0,25000000.0,7,2026
Aaron Nola,PHI,SP,30,172000000.0,24571428.57142857,7,2024
Garrett Crochet,BOS,SP,25,170000000.0,28333333.33333333,6,2026
Matt Olson,ATL,1B,27,168000000.0,21000000.0,8,2022
Cody Bellinger,NYY,CF,30,162500000.0,32500000.0,5,2026
Freddie Freeman,LAD,1B,32,162000000.0,27000000.0,6,2022
Brandon Nimmo,TEX,LF,29,162000000.0,20250000.0,8,2023
Carlos Rodon,NYY,SP,30,162000000.0,27000000.0,6,2023
Pete Alonso,BAL,1B,31,155000000.0,31000000.0,5,2026
Matt Chapman,SF,3B,31,151000000.0,25166666.666666668,6,2025
George Springer,TOR,RF,31,150000000.0,25000000.0,6,2021
Kyle Schwarber,PHI,DH,32,150000000.0,30000000.0,5,2026
Kevin McGonigle,DET,3B,21,150000000.0,18750000.0,8,2027
Nico Hoerner,CHC,2B,28,141000000.0,23500000.0,6,2027
Konnor Griffin,PIT,SS,19,140000000.0,15555555.555555556,9,2026
