player_name,team,from_team,position,age,contract_value,aav,years,signed_year,source,position_raw
Manny Machado,SD,LAD,3B,,300000000.0,30000000.0,10,2019,spotrac_fa_tracker,3B/SS
Patrick Corbin,WSH,ARI,SP,,140000000.0,23333333.0,6,2019,spotrac_fa_tracker,SP/SP2
Nathan Eovaldi,BOS,BOS,SP,,68000000.0,17000000.0,4,2019,spotrac_fa_tracker,SP/SP1
A.J. Pollock,LAD,ARI,LF,,60000000.0,12000000.0,5,2019,spotrac_fa_tracker,LF
Andrew McCutchen,PHI,NYY,RF,,50000000.0,16666667.0,3,2019,spotrac_fa_tracker,RF/RF
Craig Kimbrel,CHC,BOS,RP,,43000000.0,14333333.0,3,2019,spotrac_fa_tracker,RP/CL
Yusei Kikuchi,SEA,,SP,,43000000.0,14333333.0,3,2019,spotrac_fa_tracker,SP
Zack Britton,NYY,NYY,RP,,39000000.0,13000000.0,3,2019,spotrac_fa_tracker,RP
J.A. Happ,NYY,NYY,SP,,34000000.0,17000000.0,2,2019,spotrac_fa_tracker,SP
Michael Brantley,HOU,CLE,LF,,32000000.0,16000000.0,2,2019,spotrac_fa_tracker,LF
Jeurys Familia,NYM,OAK,RP,,30000000.0,10000000.0,3,2019,spotrac_fa_tracker,RP/CL
Charlie Morton,TB,HOU,SP,,30000000.0,15000000.0,2,2019,spotrac_fa_tracker,SP/SP2
Lance Lynn,TEX,NYY,SP,,30000000.0,10000000.0,3,2019,spotrac_fa_tracker,SP/SP1
Adam Ottavino,NYY,COL,RP,,27000000.0,9000000.0,3,2019,spotrac_fa_tracker,RP/SU8
Joe Kelly,LAD,BOS,RP,,25000000.0,8333333.0,3,2019,spotrac_fa_tracker,RP
Andrew Miller,STL,CLE,RP,,25000000.0,12500000.0,2,2019,spotrac_fa_tracker,RP
D.J. LeMahieu,NYY,COL,2B,,24000000.0,12000000.0,2,2019,spotrac_fa_tracker,2B/DH
Daniel Murphy,COL,CHC,1B,,24000000.0,12000000.0,2,2019,spotrac_fa_tracker,1B
Josh Donaldson,ATL,CLE,3B,,23000000.0,23000000.0,1,2019,spotrac_fa_tracker,3B
David Robertson,PHI,NYY,RP,,23000000.0,11500000.0,2,2019,spotrac_fa_tracker,RP/CL
