year,mlbam_id,name_savant,name_human,team,pitch_type,pitch_name,pitches_thrown,pitch_usage_pct,pa_against,ba,slg,woba,whiff_pct,k_pct,put_away_pct,est_ba,est_slg,est_woba,hard_hit_pct,run_value_per_100,snapshot_date
2022,669203,"Burnes, Corbin",Corbin Burnes,MIL,FC,Cutter,1816,55.5,464,0.213,0.335,0.292,27.8,24.6,24.1,0.244,0.381,0.312,38.4,1.5,2026-06-05
2022,607074,"Rodón, Carlos",Carlos Rodón,SF,FF,4-Seam Fastball,1817,60.9,442,0.214,0.359,0.291,28.1,30.5,24.3,0.205,0.363,0.283,44.9,1.0,2026-06-05
2022,669302,"Gilbert, Logan",Logan Gilbert,SEA,FF,4-Seam Fastball,1623,53.8,416,0.261,0.441,0.338,23.7,22.6,20.6,0.261,0.459,0.344,50.9,0.4,2026-06-05
2022,663474,"McKenzie, Triston",Triston McKenzie,CLE,FF,4-Seam Fastball,1575,56.1,407,0.202,0.357,0.289,19.9,18.4,17.4,0.238,0.473,0.342,46.9,1.2,2026-06-05
2022,664285,"Valdez, Framber",Framber Valdez,HOU,SI,Sinker,1508,50.0,404,0.292,0.406,0.358,12.4,6.9,11.9,0.29,0.441,0.357,47.1,0.3,2026-06-05
2022,543037,"Cole, Gerrit",Gerrit Cole,NYY,FF,4-Seam Fastball,1695,51.8,399,0.221,0.42,0.313,28.9,33.8,24.9,0.215,0.414,0.304,47.6,0.6,2026-06-05
2022,601713,"Pivetta, Nick",Nick Pivetta,BOS,FF,4-Seam Fastball,1572,51.0,384,0.236,0.442,0.341,21.1,21.6,19.8,0.245,0.489,0.362,48.8,0.2,2026-06-05
2022,571578,"Corbin, Patrick",Patrick Corbin,WSH,SI,Sinker,1212,46.2,382,0.315,0.481,0.389,11.6,15.4,16.3,0.312,0.561,0.401,51.0,-1.1,2026-06-05
2022,664299,"Javier, Cristian",Cristian Javier,HOU,FF,4-Seam Fastball,1528,59.8,370,0.183,0.326,0.282,27.2,28.9,20.2,0.183,0.338,0.281,39.2,1.3,2026-06-05
2022,675911,"Strider, Spencer",Spencer Strider,ATL,FF,4-Seam Fastball,1525,67.0,357,0.201,0.295,0.262,27.7,33.6,24.4,0.205,0.349,0.284,41.8,1.4,2026-06-05
