team_abbr,team_name,wins,losses
ARI,Arizona Diamondbacks,84,78
ATL,Atlanta Braves,104,58
BAL,Baltimore Orioles,101,61
BOS,Boston Red Sox,78,84
CHC,Chicago Cubs,83,79
CIN,Cincinnati Reds,82,80
CLE,Cleveland Guardians,76,86
COL,Colorado Rockies,59,103
CWS,Chicago White Sox,61,101
DET,Detroit Tigers,78,84
HOU,Houston Astros,90,72
KC,Kansas City Royals,56,106
LAA,Los Angeles Angels,73,89
LAD,Los Angeles Dodgers,100,62
MIA,Miami Marlins,84,78
MIL,Milwaukee Brewers,92,70
MIN,Minnesota Twins,87,75
NYM,New York Mets,75,87
NYY,New York Yankees,82,80
OAK,Oakland Athletics,50,112
PHI,Philadelphia Phillies,90,72
PIT,Pittsburgh Pirates,76,86
SD,San Diego Padres,82,80
SEA,Seattle Mariners,88,74
SF,San Francisco Giants,79,83
STL,St. Louis Cardinals,71,91
TB,Tampa Bay Rays,99,63
TEX,Texas Rangers,90,72
TOR,Toronto Blue Jays,89,73
WSH,Washington Nationals,71,91
