team_abbr,year,active_payroll,retained_payroll,committed_total,source_url,snapshot_date
ARI,2024,178427194,381888,178809082,https://www.spotrac.com/mlb/arizona-diamondbacks/payroll/_/year/2024/,2026-06-05
ATL,2024,238108491,19890,238128381,https://www.spotrac.com/mlb/atlanta-braves/payroll/_/year/2024/,2026-06-05
BAL,2024,111309008,1500000,112809008,https://www.spotrac.com/mlb/baltimore-orioles/payroll/_/year/2024/,2026-06-05
BOS,2024,190176844,500000,190676844,https://www.spotrac.com/mlb/boston-red-sox/payroll/_/year/2024/,2026-06-05
CHC,2024,231700554,50000,231750554,https://www.spotrac.com/mlb/chicago-cubs/payroll/_/year/2024/,2026-06-05
CIN,2024,102298823,500000,102798823,https://www.spotrac.com/mlb/cincinnati-reds/payroll/_/year/2024/,2026-06-05
CLE,2024,107113214,2000000,109113214,https://www.spotrac.com/mlb/cleveland-guardians/payroll/_/year/2024/,2026-06-05
COL,2024,147506521,0,147506521,https://www.spotrac.com/mlb/colorado-rockies/payroll/_/year/2024/,2026-06-05
CWS,2024,142916866,250000,143166866,https://www.spotrac.com/mlb/chicago-white-sox/payroll/_/year/2024/,2026-06-05
DET,2024,98607894,10000,98617894,https://www.spotrac.com/mlb/detroit-tigers/payroll/_/year/2024/,2026-06-05
HOU,2024,248670553,1000000,249670553,https://www.spotrac.com/mlb/houston-astros/payroll/_/year/2024/,2026-06-05
KC,2024,125670914,2500000,128170914,https://www.spotrac.com/mlb/kansas-city-royals/payroll/_/year/2024/,2026-06-05
LAA,2024,171986921,500000,172486921,https://www.spotrac.com/mlb/los-angeles-angels/payroll/_/year/2024/,2026-06-05
LAD,2024,266640208,100000,266740208,https://www.spotrac.com/mlb/los-angeles-dodgers/payroll/_/year/2024/,2026-06-05
MIA,2024,97569865,2500000,100069865,https://www.spotrac.com/mlb/miami-marlins/payroll/_/year/2024/,2026-06-05
MIL,2024,124643685,250000,124893685,https://www.spotrac.com/mlb/milwaukee-brewers/payroll/_/year/2024/,2026-06-05
MIN,2024,131225880,250000,131475880,https://www.spotrac.com/mlb/minnesota-twins/payroll/_/year/2024/,2026-06-05
NYM,2024,322960494,250000,323210494,https://www.spotrac.com/mlb/new-york-mets/payroll/_/year/2024/,2026-06-05
NYY,2024,315616982,6000000,321616982,https://www.spotrac.com/mlb/new-york-yankees/payroll/_/year/2024/,2026-06-05
OAK,2024,63503127,1000000,64503127,https://www.spotrac.com/mlb/athletics/payroll/_/year/2024/,2026-06-05
PHI,2024,244253627,1000000,245253627,https://www.spotrac.com/mlb/philadelphia-phillies/payroll/_/year/2024/,2026-06-05
PIT,2024,85405037,4000000,89405037,https://www.spotrac.com/mlb/pittsburgh-pirates/payroll/_/year/2024/,2026-06-05
SD,2024,172855090,2000000,174855090,https://www.spotrac.com/mlb/san-diego-padres/payroll/_/year/2024/,2026-06-05
SEA,2024,149346087,750000,150096087,https://www.spotrac.com/mlb/seattle-mariners/payroll/_/year/2024/,2026-06-05
SF,2024,207092069,2000000,209092069,https://www.spotrac.com/mlb/san-francisco-giants/payroll/_/year/2024/,2026-06-05
STL,2024,179440274,500000,179940274,https://www.spotrac.com/mlb/st-louis-cardinals/payroll/_/year/2024/,2026-06-05
TB,2024,89852001,100000,89952001,https://www.spotrac.com/mlb/tampa-bay-rays/payroll/_/year/2024/,2026-06-05
TEX,2024,227545408,500000,228045408,https://www.spotrac.com/mlb/texas-rangers/payroll/_/year/2024/,2026-06-05
TOR,2024,219180044,500000,219680044,https://www.spotrac.com/mlb/toronto-blue-jays/payroll/_/year/2024/,2026-06-05
WSH,2024,107128130,1697634,108825764,https://www.spotrac.com/mlb/washington-nationals/payroll/_/year/2024/,2026-06-05
